	cdate	content	ddate	forum	id	invitation	nonreaders	number	original	readers	replyto	signatures	tcdate	tddate	tmdate	writers
10	1549184008709	"{'title': 'Later this month', 'comment': ""We're planning to release source code for the model along with the camera ready version later this month.""}"		H1gL-2A9Ym	BkxZGnQNE4	ICLR.cc/2019/Conference/-/Paper1175/Official_Comment	['ICLR.cc/2019/Conference/Paper1175/Reviewers/Unsubmitted']	16		['everyone']	rke40msQE4	['ICLR.cc/2019/Conference/Paper1175/Authors']	1549184008709		1549184008709	['ICLR.cc/2019/Conference/Paper1175/Authors', 'ICLR.cc/2019/Conference']
11	1549169524487	{'title': 'Code publicly available', 'comment': 'Thank you for your interests. We have made our code publicly available: https://github.com/wyharveychen/CloserLookFewShot\n\nPlease free to drop us an email at weiyuc@andrew.cmu.edu if you have any questions.'}		HkxLXnAcFQ	BJxhOmgVVE	ICLR.cc/2019/Conference/-/Paper1361/Official_Comment	['ICLR.cc/2019/Conference/Paper1361/Reviewers/Unsubmitted']	18		['everyone']	Bye5ng5xEV	['ICLR.cc/2019/Conference/Paper1361/Authors']	1549169524487		1549169524487	['ICLR.cc/2019/Conference/Paper1361/Authors', 'ICLR.cc/2019/Conference']
12	1538087947025	{'title': 'Explaining Image Classifiers by Counterfactual Generation', 'abstract': 'When a black-box classifier processes an input example to render a prediction, which input features are relevant and why? We propose to answer this question by efficiently marginalizing over the universe of plausible alternative values for a subset of features by conditioning a generative model of the input distribution on the remaining features. In contrast with recent approaches that compute alternative feature values ad-hoc---generating counterfactual inputs far from the natural data distribution---our model-agnostic method produces realistic explanations, generating plausible inputs that either preserve or alter the classification confidence. When applied to image classification, our method produces more compact and relevant per-feature saliency assignment, with fewer artifacts compared to previous methods.', 'keywords': ['Explainability', 'Interpretability', 'Generative Models', 'Saliency Map', 'Machine Learning', 'Deep Learning'], 'authorids': ['kingsley@cs.toronto.edu', 'creager@cs.toronto.edu', 'anna.goldenberg@utoronto.ca', 'duvenaud@cs.toronto.edu'], 'authors': ['Chun-Hao Chang', 'Elliot Creager', 'Anna Goldenberg', 'David Duvenaud'], 'TL;DR': 'We compute saliency by using a strong generative model to efficiently marginalize over plausible alternative inputs, revealing concentrated pixel areas that preserve label information.', 'pdf': '/pdf/39cc4ce5bb0a05e4e645a7538ed132e29c6b2f6f.pdf', 'paperhash': 'chang|explaining_image_classifiers_by_counterfactual_generation', '_bibtex': '@inproceedings{\nchang2018explaining,\ntitle={Explaining Image Classifiers by Counterfactual Generation},\nauthor={Chun-Hao Chang and Elliot Creager and Anna Goldenberg and David Duvenaud},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=B1MXz20cYQ},\n}'}		B1MXz20cYQ	B1MXz20cYQ	ICLR.cc/2019/Conference/-/Blind_Submission	[]	1250	HklMDB2qKQ	['everyone']		['ICLR.cc/2019/Conference']	1538087947025		1549159375231	['ICLR.cc/2019/Conference']
13	1538087899228	{'title': 'Unsupervised Speech Recognition via Segmental Empirical Output Distribution Matching', 'abstract': 'We consider the problem of training speech recognition systems without using any labeled data, under the assumption that the learner can only access to the input utterances and a phoneme language model estimated from a non-overlapping corpus. We propose a fully unsupervised learning algorithm that alternates between solving two sub-problems: (i) learn a phoneme classifier for a given set of phoneme segmentation boundaries, and (ii) refining the phoneme boundaries based on a given classifier. To solve the first sub-problem, we introduce a novel unsupervised cost function named Segmental Empirical Output Distribution Matching, which generalizes the work in (Liu et al., 2017) to segmental structures. For the second sub-problem, we develop an approximate MAP approach to refining the boundaries obtained from Wang et al. (2017). Experimental results on TIMIT dataset demonstrate the success of this fully unsupervised phoneme recognition system, which achieves a phone error rate (PER) of 41.6%. Although it is still far away from the state-of-the-art supervised systems, we show that with oracle boundaries and matching language model, the PER could be improved to 32.5%. This performance approaches the supervised system of the same model architecture, demonstrating the great potential of the proposed method.', 'keywords': ['Unsupervised speech recognition', 'unsupervised learning', 'phoneme classification'], 'authorids': ['cjyeh@cs.cmu.edu', 'chenjianshu@gmail.com', 'czyu@tencent.com', 'dyu@tencent.com'], 'authors': ['Chih-Kuan Yeh', 'Jianshu Chen', 'Chengzhu Yu', 'Dong Yu'], 'pdf': '/pdf/d6e5aea20fc83505d6a7d5984dd0c36743d71843.pdf', 'paperhash': 'yeh|unsupervised_speech_recognition_via_segmental_empirical_output_distribution_matching', '_bibtex': '@inproceedings{\nyeh2018unsupervised,\ntitle={Unsupervised Speech Recognition via Segmental Empirical Output Distribution Matching},\nauthor={Chih-Kuan Yeh and Jianshu Chen and Chengzhu Yu and Dong Yu},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=Bylmkh05KX},\n}'}		Bylmkh05KX	Bylmkh05KX	ICLR.cc/2019/Conference/-/Blind_Submission	[]	973	SyxCUa_cK7	['everyone']		['ICLR.cc/2019/Conference']	1538087899228		1549152290199	['ICLR.cc/2019/Conference']
14	1549149705524	{'comment': 'Is the code available somewhere?\n', 'title': 'Code'}		Byl8BnRcYm	r1gfzLimEE	ICLR.cc/2019/Conference/-/Paper1544/Public_Comment	[]	1		['everyone']	Byl8BnRcYm	['~Benedek_Rozemberczki1']	1549149705524		1549149705524	['~Benedek_Rozemberczki1', 'ICLR.cc/2019/Conference']
15	1549149131863	{'comment': 'Is there publicly available code for the paper?', 'title': 'Code'}		H1gL-2A9Ym	rke40msQE4	ICLR.cc/2019/Conference/-/Paper1175/Public_Comment	[]	2		['everyone']	H1gL-2A9Ym	['~Benedek_Rozemberczki1']	1549149131863		1549149131863	['~Benedek_Rozemberczki1', 'ICLR.cc/2019/Conference']
16	1538087885635	{'title': 'A2BCD: Asynchronous Acceleration with Optimal Complexity', 'abstract': '\tIn this paper, we propose the Asynchronous Accelerated Nonuniform Randomized Block Coordinate Descent algorithm (A2BCD). We prove A2BCD converges linearly to a solution of the convex minimization problem at the same rate as NU_ACDM, so long as the maximum delay is not too large. This is the first asynchronous Nesterov-accelerated algorithm that attains any provable speedup. Moreover, we then prove that these algorithms both have optimal complexity. Asynchronous algorithms complete much faster iterations, and A2BCD has optimal complexity. Hence we observe in experiments that A2BCD is the top-performing coordinate descent algorithm, converging up to 4-5x faster than NU_ACDM on some data sets in terms of wall-clock time. To motivate our theory and proof techniques, we also derive and analyze a continuous-time analog of our algorithm and prove it converges at the same rate.', 'keywords': ['asynchronous', 'optimization', 'parallel', 'accelerated', 'complexity'], 'authorids': ['roberthannah89@gmail.com', 'fei.feng@math.ucla.edu', 'wotaoyin@math.ucla.edu'], 'authors': ['Robert Hannah', 'Fei Feng', 'Wotao Yin'], 'TL;DR': 'We prove the first-ever convergence proof of an asynchronous accelerated algorithm that attains a speedup.', 'pdf': '/pdf/833fd6b2bc73fc42de2ea74d527f7b56fc12077d.pdf', 'paperhash': 'hannah|a2bcd_asynchronous_acceleration_with_optimal_complexity', '_bibtex': '@inproceedings{\nhannah2018abcd,\ntitle={A2{BCD}: Asynchronous Acceleration with Optimal Complexity},\nauthor={Robert Hannah and Fei Feng and Wotao Yin},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=rylIAsCqYm},\n}'}		rylIAsCqYm	rylIAsCqYm	ICLR.cc/2019/Conference/-/Blind_Submission	[]	895	BkldQ6a5Km	['everyone']		['ICLR.cc/2019/Conference']	1538087885635		1549128195552	['ICLR.cc/2019/Conference']
17	1538087822856	{'title': 'Multi-Domain Adversarial Learning', 'abstract': 'Multi-domain learning (MDL) aims at obtaining a model with minimal average risk across multiple domains. Our empirical motivation is automated microscopy data, where cultured cells are imaged after being exposed to known and unknown chemical perturbations, and each dataset displays significant experimental bias. This paper presents a multi-domain adversarial learning approach, MuLANN, to leverage multiple datasets with overlapping but distinct class sets, in a semi-supervised setting. Our contributions include: i) a bound on the average- and worst-domain risk in MDL, obtained using the H-divergence; ii) a new loss to accommodate semi-supervised multi-domain learning and domain adaptation; iii) the experimental validation of the approach, improving on the state of the art on two standard image benchmarks, and a novel bioimage dataset, Cell.', 'keywords': ['multi-domain learning', 'domain adaptation', 'adversarial learning', 'H-divergence', 'deep representation learning', 'high-content microscopy'], 'authorids': ['alice.schoenauer@polytechnique.org', 'louise.heinrich@ucsf.edu', 'marc.schoenauer@inria.fr', 'sebag@lri.fr', 'lani.wu@ucsf.edu', 'steven.altschuler@ucsf.edu'], 'authors': ['Alice Schoenauer-Sebag', 'Louise Heinrich', 'Marc Schoenauer', 'Michele Sebag', 'Lani F. Wu', 'Steve J. Altschuler'], 'TL;DR': 'Adversarial Domain adaptation and Multi-domain learning: a new loss to handle multi- and single-domain classes in the semi-supervised setting.', 'pdf': '/pdf/bfe2e340d972b9a1c65c929de92ef223859e9376.pdf', 'paperhash': 'schoenauersebag|multidomain_adversarial_learning', '_bibtex': '@inproceedings{\nschoenauer-sebag2018multidomain,\ntitle={Multi-Domain Adversarial Learning},\nauthor={Alice Schoenauer-Sebag and Louise Heinrich and Marc Schoenauer and Michele Sebag and Lani Wu and Steve Altschuler},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=Sklv5iRqYX},\n}'}		Sklv5iRqYX	Sklv5iRqYX	ICLR.cc/2019/Conference/-/Blind_Submission	[]	541	S1l5otVOKX	['everyone']		['ICLR.cc/2019/Conference']	1538087822856		1549123737887	['ICLR.cc/2019/Conference']
18	1548979497430	"{'title': 'Author response', 'comment': ""We thank the AC for his/her comments. Below please find our response.\n\nWe'd like to clarify that while we focus on presenting the test negative log-likelihoods/ELBOs in the tables, we have provided the trace plots of training and validation negative ELBOs in Figures 2, 6, 7. \n\nThe toy experiment of maximizing E_z [(z-p_0)^2] indeed is very easy for the proposed ARM estimator, but becomes very challenging for REBAR and RELAX when p_0 approaches 0.5.\n\nWe use $\\phi$ for the parameters to avoid confusion for our experiments in discrete variational autoencoders, where $\\phi$ is commonly used to denote the encoder parameter, while $\\theta$ is commonly used to denote the decoder parameter. While the derivation may still appear complicated and heavy in notation, the actual implementation is in fact rather straightforward.\n\nAntithetic sampling for variance reduction is indeed old. However, antithetic sampling only becomes useful after performing variable augmentation and REINFORCE in the augmented space; without the Augment and REINFORCE steps, it is unclear how antithetic sampling can be applied to binary variables. \n\nCategorical extension of the binary ARM estimator involves much more sophisticated variable-swap and merge operations (much more notation heavy). We had a preliminary solution, which can be found in https://arxiv.org/abs/1807.11143 , and we have recently discovered another significantly improved solution. We plan to update that ArXiv submission in the near future. ""}"		S1lg0jAcYm	HkgbEpWZ44	ICLR.cc/2019/Conference/-/Paper862/Official_Comment	['ICLR.cc/2019/Conference/Paper862/Reviewers/Unsubmitted']	15		['everyone']	BJli5EK3y4	['ICLR.cc/2019/Conference/Paper862/Authors']	1548979497430		1549122976364	['ICLR.cc/2019/Conference/Paper862/Authors', 'ICLR.cc/2019/Conference']
19	1549071274553	"{'title': 'Addressed minor change + addition of relevant papers', 'comment': 'We thank you for your positive comments. We have updated the paper with your suggestions.\n\n1) ""the ATIS domain is : What states border Texas :λx.state(x)borders(x, texas).""  Is this example from ATIS? It seems more like a GeoQuery example. \n--> It is indeed an example from the GeoQuery dataset. We have updated it accordingly in the revision. Thanks for pointing it out!\n2) Regarding Reinforcement Learning (section 7.2), there is a recent work (Liang et al, 2018) that is quite relevant. \n--> We absolutely agree with you that Liang et al. 2018 is relevant and we have included it in the survey. Thanks for the suggestion. \n\n'}"		HylaEWcTT7	B1eX3XOzNV	AKBC.ws/2019/Conference/-/Paper48/Official_Comment	['AKBC.ws/2019/Conference/Paper48/Reviewers/Unsubmitted']	2		['everyone']	S1gGIl-HMN	['AKBC.ws/2019/Conference/Paper48/Authors']	1549071274553		1549117554061	['AKBC.ws/2019/Conference/Paper48/Authors', 'AKBC.ws/2019/Conference']
20	1542459701444	"{'title': 'A Survey on Semantic Parsing', 'authors': ['Anonymous'], 'authorids': ['AKBC.ws/2019/Conference/Paper48/Authors'], 'keywords': ['survey', 'semantic parsing'], 'abstract': ""A significant amount of information in today's world is stored in structured and semi-structured knowledge bases. Efficient and simple methods to query them are essential and must not be restricted to only those who have expertise in formal query languages. The field of semantic parsing deals with converting natural language utterances to logical forms that can be easily executed on a knowledge base. In this survey, we examine the various components of a semantic parsing system and discuss prominent work ranging from the initial rule based methods to the current neural approaches to program synthesis. We also discuss methods that operate using varying levels of supervision and highlight the key challenges involved in the learning of such systems."", 'pdf': '/pdf/74f909e9f985f057470502ef0d5fc3461c6e6ad8.pdf', 'archival status': 'Archival', 'subject areas': ['Machine Learning', 'Natural Language Processing', 'Information Extraction'], 'paperhash': 'anonymous|a_survey_on_semantic_parsing', '_bibtex': '@inproceedings{    \nanonymous2019a,    \ntitle={A survey on Semantic Parsing},    \nauthor={Anonymous},    \nbooktitle={Submitted to Automated Knowledge Base Construction},    \nyear={2019},    \nurl={https://openreview.net/forum?id=HylaEWcTT7},    \nnote={under review}    \n}'}"		HylaEWcTT7	HylaEWcTT7	AKBC.ws/2019/Conference/-/Blind_Submission	[]	48	ByeATKrpTX	['everyone']		['AKBC.ws/2019/Conference']	1542459701444		1549072891331	['AKBC.ws/2019/Conference']
