,A,B,label
14,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
15,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
16,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
17,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",2.2) gives the result.,0
18,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",The major beneﬁt of our approach is its simplicityand wide applicability across many models and machine-learning scenarios.There remain many avenues for future investigation,0
19,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Veness, M",0
20,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
21,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",Experimental results on synthetic data,0
22,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
23,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Unfortunately, this approach is intractable except for specially struc-tured losses, such as the composition of a linear and simple convex function (Ben-Tal et al., 2009; Xuet al., 2009; 2012)",0
24,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
25,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",adv for (cid:107) · (cid:107)2-IFGM attack(f) Test error vs,0
26,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
27,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
28,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
29,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
30,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Jha, M",0
31,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
32,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",Theorem 7,0
33,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
34,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
35,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","(2015)) usually considers (cid:107)·(cid:107)∞-norm at-tacks, which allow imperceptible perturbations to all input features",0
36,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
37,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","In classiﬁcation settings, we have Y ∈{1, ",0
38,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
39,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
40,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",We provide further evidence in Appendix A.1.Next we study stability of the loss surface with respect to perturbations to inputs,0
41,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
42,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Nevertheless, this robust approach underlies recent advances in adversarial train-ing (Szegedy et al., 2013; Goodfellow et al., 2015; Papernot et al., 2016b; Carlini & Wagner, 2017;Madry et al., 2017), which heuristically perturb data during a stochastic optimization procedure.One such heuristic uses a locally linearized loss function (proposed with p = ∞ as the “fast gradientsign method” (Goodfellow et al., 2015)):Robust optimization and adversarial training The standard robust-optimization approach mini-mizes losses of the form supu∈U (cid:96)(θ; z + u) for some uncertainty set U (Ratliff et al., 2006; Ben-Talet al., 2009; Xu et al., 2009)",0
43,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
44,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",B,0
45,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
46,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
47,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Because 2-normadversaries tend to focus budgets on a subset of features, the resulting ∞-norm perturbations arerelatively large",0
48,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
49,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
50,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Whenever γ is large enough (so that this is tight for small ρ), we may efﬁcientlycompute the Monge-map (9) and the test loss (15) to guarantee bounds on the sensitivity of a pa-rameter θ to a particular sample and predicted labeling based on the sample.",0
51,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
52,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",(a) and (b) show test misclassiﬁcation error vs,0
53,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
54,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Similarly as in Section 2.1, we require the following two assumptions that guarantee efﬁcient com-putability of the robust surrogate φγ.Assumption C",0
55,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
56,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
57,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Nevertheless, this robust approach underlies recent advances in adversarial train-ing (Szegedy et al., 2013; Goodfellow et al., 2015; Papernot et al., 2016b; Carlini & Wagner, 2017;Madry et al., 2017), which heuristically perturb data during a stochastic optimization procedure.One such heuristic uses a locally linearized loss function (proposed with p = ∞ as the “fast gradientsign method” (Goodfellow et al., 2015)):Robust optimization and adversarial training The standard robust-optimization approach mini-mizes losses of the form supu∈U (cid:96)(θ; z + u) for some uncertainty set U (Ratliff et al., 2006; Ben-Talet al., 2009; Xu et al., 2009)",0
58,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
59,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
60,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
61,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
62,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Consequently, stochasticgradient methods applied to problem (2) have similar convergence guarantees as for non-robustmethods (ERM)",0
63,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Namely, we draw the nominal",0
64,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
65,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
66,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
67,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
68,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","In Figure 11 we show the results trained with a small training adversarial budget.In this regime, (large γ, small ), WRM matches the performance of other techniques.In Figure 12 we show the results trained with a large training adversarial budget",0
69,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",We use reward r(β) := e−|β| for the angle β of the pole from the vertical,0
70,"Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu","Aman Sinha∗,1, Hongseok Namkoong∗,2, John Duchi1,3Departments of 1Electrical Engineering, 2Management Science & Engineering, 3StatisticsStanford UniversityStanford, CA 94305{amans,hnamk,jduchi}@stanford.edu",1
